name,rep,zone,split,hybrid,redMargin,distW,trainN,presAcc,countAcc,zoneAcc,zoneBAcc,redRecall,detProb,faClut,distMAE,bestVal,nTest
dist_base,complex,dist,stored,False,0.0,False,5602,0.9182652210175146,0.6672226855713094,0.6046705587989991,0.5422990622374235,0.34507042253521125,0.9263420724094882,0.1368421052631579,0.9451392241631554,0.7099883817892548,1199
dist_margin,complex,dist,stored,False,0.4,False,5602,0.914095079232694,0.6730608840700584,0.6213511259382819,0.5799649771638545,0.5633802816901409,0.9350811485642946,0.17894736842105263,0.939652465553617,0.7107969731380819,1199
dist_weighted,complex,dist,stored,False,0.0,True,5602,0.9249374478732277,0.6655546288573811,0.6055045871559633,0.5534240643271247,0.4084507042253521,0.9413233458177278,0.15087719298245614,0.9295779643731469,0.7128211564107504,1199
dist_both,complex,dist,stored,False,0.4,True,5602,0.9216013344453712,0.6638865721434529,0.6355296080066722,0.5948680025354034,0.5915492957746479,0.9350811485642946,0.14736842105263157,0.9120132360565528,0.720039583606544,1199
zone_clf,complex,clf,stored,False,0.0,False,5602,0.9157631359466222,0.6780650542118432,0.6613844870725605,0.5674659199279097,0.5070422535211268,0.9313358302122348,0.16140350877192983,2.3228676328051847,0.7126999812825862,1199
delay,delay,dist,stored,False,0.0,False,5602,0.9199332777314428,0.6947456213511259,0.6388657214345288,0.5600149814785629,0.31690140845070425,0.9300873907615481,0.14035087719298245,0.8634290087982064,0.7504898277395111,1199
delayangle,delayangle,dist,stored,False,0.0,False,5602,0.9366138448707256,0.6914095079232694,0.6246872393661385,0.5891088406355797,0.45774647887323944,0.9375780274656679,0.0912280701754386,0.9002354725469811,0.7409591571105868,1199
hybrid_complex,complex,dist,stored,True,0.0,False,5602,0.9124270225187656,0.69557964970809,0.6063386155129274,0.5540674152329688,0.3732394366197183,0.9413233458177278,0.20350877192982456,0.9212961661235224,0.7248696272312994,1199
delayangle_fix,delayangle,dist,stored,False,0.4,True,5602,0.9307756463719766,0.6897414512093412,0.6472060050041701,0.6186892209185031,0.6690140845070423,0.9463171036204744,0.14035087719298245,0.8776579629467073,0.7488299149216958,1199
hybrid_best_gen,delayangle,dist,clutter_holdout,True,0.4,True,5094,0.8690239043824701,0.6543824701195219,0.576195219123506,0.5639636044237426,0.5930735930735931,0.9434944237918216,0.28205128205128205,0.9013712007316959,0.7691588024469915,2008
delayangle_fix_gen,delayangle,dist,clutter_holdout,False,0.4,True,5094,0.849601593625498,0.625996015936255,0.5403386454183267,0.5268975448395641,0.5844155844155844,0.9368029739776952,0.3273001508295626,0.9200581547052887,0.7644872219703819,2008
hybrid_best,delayangle,dist,stored,True,0.4,True,5602,0.920767306088407,0.7047539616346956,0.6296914095079232,0.609479592823191,0.7183098591549296,0.9550561797752809,0.20701754385964913,0.8442737803179375,0.7478712566246178,1199
